Date,Open,High,Low,Close,Adj Close,Volume
2021-04-19,37.092709,38.270817,32.252907,33.496964,33.496964,4391182156
2021-04-20,33.425922,35.176125,30.271864,33.633831,33.633831,3696862219
2021-04-21,33.689014,35.304169,31.629433,32.156216,32.156216,2464254899
2021-04-22,32.017269,39.278740,31.656593,33.512146,33.512146,4988827208
2021-04-23,33.658535,34.482563,25.807697,32.558380,32.558380,4530870972
2021-04-24,32.636204,32.720760,29.343462,29.569832,29.569832,1855281855
2021-04-25,29.621351,31.733240,27.899961,29.111286,29.111286,1960770020
2021-04-26,29.223223,32.842869,28.944847,32.811047,32.811047,1890402741
2021-04-27,32.801670,34.253658,32.001617,33.712147,33.712147,2039178894
2021-04-28,33.751141,36.265255,32.388077,35.015038,35.015038,2635029772
2021-04-29,35.056461,35.269428,33.636299,34.458008,34.458008,1644247877
2021-04-30,34.458412,36.688152,33.790577,36.368431,36.368431,1769693902
2021-05-01,36.334682,46.325809,36.285934,44.609253,44.609253,4173185417
2021-05-02,44.672249,46.573193,42.157829,44.903751,44.903751,4473424689
2021-05-03,44.904888,52.278656,44.276192,52.059887,52.059887,5107814937
2021-05-04,52.124210,71.931435,49.612114,69.490906,69.490906,13630779722
2021-05-05,69.239098,100.029320,68.122284,94.266441,94.266441,23543754709
2021-05-06,94.151756,176.157700,87.642822,134.101791,134.101791,42721411413
2021-05-07,133.683578,144.484238,109.395515,120.129730,120.129730,31255577303
2021-05-08,119.616890,133.471634,110.455482,126.488342,126.488342,19606452022
2021-05-09,127.334953,129.265106,114.154610,117.376328,117.376328,13429218382
2021-05-10,118.000366,129.294144,92.643051,105.025261,105.025261,14313956067
2021-05-11,105.204956,116.440643,102.489212,111.140282,111.140282,11373003544
2021-05-12,111.299675,114.034966,82.578117,82.759163,82.759163,9277358255
2021-05-13,84.906914,94.531914,78.788223,87.773842,87.773842,11340588570
2021-05-14,88.028786,109.439423,86.774780,104.123177,104.123177,12253450514
2021-05-15,103.547859,114.122803,94.886581,95.167503,95.167503,10228314533
2021-05-16,95.183296,103.174500,87.052582,93.789879,93.789879,7457832416
2021-05-17,93.727417,94.405922,81.225082,89.938034,89.938034,8050265428
2021-05-18,89.560577,95.254593,86.265701,88.677086,88.677086,6764331594
2021-05-19,88.805099,90.202026,40.967583,60.121788,60.121788,10670122121
2021-05-20,59.627125,79.246330,54.898148,74.055763,74.055763,9733835035
2021-05-21,73.878227,78.290131,54.708961,64.045410,64.045410,8127575426
2021-05-22,64.316360,64.831970,54.651676,58.537743,58.537743,5398882569
2021-05-23,58.675503,62.445305,40.239956,51.964794,51.964794,6820065999
2021-05-24,51.673264,73.973114,49.046852,73.421158,73.421158,8536319378
2021-05-25,73.533325,82.591187,70.486099,78.243523,78.243523,11026112416
2021-05-26,78.388847,83.247597,74.369263,79.929764,79.929764,6584747586
2021-05-27,79.914452,79.914452,71.448471,74.307976,74.307976,4931141867
2021-05-28,74.552681,78.999931,63.718189,68.357330,68.357330,7253044146
2021-05-29,68.314468,70.787697,61.183205,64.280930,64.280930,4719305772
2021-05-30,64.319344,68.181183,60.133713,66.365997,66.365997,3798698595
2021-05-31,66.211990,70.521950,62.071918,70.218208,70.218208,3476431785
2021-06-01,70.086609,71.640205,65.860252,67.788902,67.788902,3205445345
2021-06-02,67.772942,70.332443,65.901741,68.393600,68.393600,2843370083
2021-06-03,68.440987,72.460007,67.302650,69.801430,69.801430,2913129860
2021-06-04,69.871635,69.871635,61.559185,64.881088,64.881088,3607554276
2021-06-05,64.859589,67.367790,61.787323,63.140297,63.140297,3137036325
2021-06-06,63.144913,65.501610,62.826832,64.106697,64.106697,2618835050
2021-06-07,64.095825,65.101738,57.635731,57.861790,57.861790,2868782848
2021-06-08,58.020378,59.148876,49.799309,56.907257,56.907257,3791046087
2021-06-09,56.787540,62.584427,53.725464,61.981735,61.981735,4113067210
2021-06-10,62.297253,63.375397,57.240513,57.942951,57.942951,3163850050
2021-06-11,57.969158,60.429337,56.200466,56.956169,56.956169,2907275844
2021-06-12,56.919971,56.919971,53.303734,55.265533,55.265533,2621237907
2021-06-13,55.244621,60.260590,53.835949,59.056625,59.056625,2644959954
2021-06-14,59.041878,60.534233,56.764736,59.156742,59.156742,2789936710
2021-06-15,59.036030,60.140816,57.467056,59.377216,59.377216,2398590865
2021-06-16,58.244179,58.306313,54.919903,55.272236,55.272236,2071407832
2021-06-17,55.325092,57.215145,54.412849,55.535297,55.535297,1772611691
2021-06-18,55.559963,55.559963,50.669113,52.545502,52.545502,1876860732
2021-06-19,52.564121,53.236919,50.991840,51.148327,51.148327,1634610713
2021-06-20,51.048889,51.449242,47.124889,51.112251,51.112251,1774866299
2021-06-21,51.031391,51.360329,38.639523,39.428169,39.428169,2361396365
2021-06-22,39.466213,42.651417,32.505100,36.526569,36.526569,2749863356
2021-06-23,36.574688,42.383484,34.781616,40.566021,40.566021,2409661134
2021-06-24,40.793877,43.480167,38.828461,43.092899,43.092899,1858527477
2021-06-25,43.132145,45.300934,39.069424,39.625717,39.625717,2177915889
2021-06-26,39.513557,40.914352,37.652641,40.515644,40.515644,2088072905
2021-06-27,40.543343,42.443108,39.521927,42.331085,42.331085,1782621295
2021-06-28,42.349052,44.471149,41.166683,43.329647,43.329647,1965963965
2021-06-29,43.356319,58.318737,43.236050,56.301651,56.301651,4689117273
2021-06-30,56.635754,62.013443,51.843906,57.627308,57.627308,5960519765
2021-07-01,57.525776,58.286865,52.518772,53.237743,53.237743,3707356637
2021-07-02,53.122971,55.108807,50.908916,53.769508,53.769508,2881211051
2021-07-03,53.733353,58.316437,52.564014,56.831760,56.831760,3073360923
2021-07-04,56.824352,58.794556,55.942295,56.245659,56.245659,2864592305
2021-07-05,56.278759,56.852386,53.180626,53.682632,53.682632,2590824643
2021-07-06,53.712578,56.831779,53.663555,54.714554,54.714554,2587432849
2021-07-07,54.710674,55.522724,52.748306,52.810429,52.810429,2720318046
2021-07-08,52.874840,52.975246,48.799496,49.624294,49.624294,2700936105
2021-07-09,49.542088,51.297722,46.682194,50.118374,50.118374,2565416588
2021-07-10,50.177238,51.323765,48.346821,49.170948,49.170948,1994248806
2021-07-11,49.147923,50.482544,48.330132,49.690426,49.690426,1712977479
2021-07-12,49.698444,50.573582,46.815323,47.814808,47.814808,2037499132
2021-07-13,47.769833,48.207363,45.202271,45.567032,45.567032,1820339496
2021-07-14,45.571400,47.715328,42.706623,45.660995,45.660995,2176650881
2021-07-15,45.614700,46.903191,44.334969,44.426773,44.426773,1990248704
